source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
Arbeitnow,senior-software-engineer-windows-desktop-applications-munich-germany-484546,https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-windows-desktop-applications-munich-germany-484546,2026-07-14,Speechify,"Senior Software Engineer, Windows/Desktop Applications - Munich, Germany",Senior,"Munich, Bavaria, Germany",041605cdf067be0524f294549b6c869fd2ddcab734918163b6749b969864da34,1,1,0,1,1,1,0,0,0,1,1,5,4
Arbeitnow,senior-software-engineer-windows-desktop-applications-dusseldorf-germany-dusseldorf-164606,https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-windows-desktop-applications-dusseldorf-germany-dusseldorf-164606,2026-07-14,Speechify,"Senior Software Engineer, Windows/Desktop Applications - Düsseldorf, Germany",Senior,"Dusseldorf, North Rhine-Westphalia, Germany",ce749f78219c5734be94c0c6ee514cb0b75a2abb49fa2165001e38b10ddbfb1f,1,1,0,1,1,1,0,0,0,1,1,5,4
Arbeitnow,senior-software-engineer-core-experiences-munich-germany-193604,https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-core-experiences-munich-germany-193604,2026-07-14,Speechify,"Senior Software Engineer, Core Experiences - Munich, Germany",Senior,"Munich, Bavaria, Germany",01aa6f06d514f722bf081d85313650fbd6144a3e56de07b90455c72550543edd,0,1,0,0,0,0,0,1,0,1,1,2,2
Arbeitnow,senior-software-engineer-net-munich-86775,https://www.arbeitnow.com/jobs/companies/apaleo/senior-software-engineer-net-munich-86775,2026-07-13,Apaleo,Senior Software Engineer (.NET) (f/m/d),Senior,"Munich, Bavaria, Germany",350b4f62c282c45c43480e9b6507e402f95ab35a2a7dfc15d53ccc6a50750d05,0,0,0,0,0,0,1,0,0,1,0,1,1
The Muse,21769708,https://www.themuse.com/jobs/flexport/senior-software-engineer-platform,2026-07-13,Flexport,Senior Software Engineer: Platform,Senior,"Amsterdam, Netherlands",93db4a2faeeb09d86a2eb1e0578a2693a4479d5037577147dc57fc933ba1412d,0,0,0,0,0,0,0,0,0,0,0,0,0
Himalayas,https://himalayas.app/companies/aera-technology/jobs/senior-software-engineer-calc-engine-copy,https://himalayas.app/companies/aera-technology/jobs/senior-software-engineer-calc-engine-copy,2026-07-13,Aera Technology,Senior Software Engineer (CALC engine) (copy),Senior,United States,a48a21afa88b34995703dc17b4ca14df9f2721e7b7108de31c2fc425f347afb1,1,1,0,0,0,0,0,0,0,1,1,2,2
Remote OK,1134928,https://remoteOK.com/remote-jobs/remote-software-developmentfrontend-developer-defdone-1134928,2026-07-13,defdone,"Software development
Frontend Developer",Senior,"PoznaÅ, ",55b58ff51703b93a106f6f9c9f549faa04f2e26a1938f8bdd776da38b3efb4a3,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbeitnow,senior-fullstack-engineer-munchen-munich-229505,https://www.arbeitnow.com/jobs/companies/towa-the-digital-growth-company/senior-fullstack-engineer-munchen-munich-229505,2026-07-13,TOWA - the digital growth company,"Senior Fullstack Engineer (m/w/d), München",Senior,Munich,7dc253cb10922253098aedf59e2f0bd493ab309055dca64a123c2ee53519d45b,0,1,0,0,0,0,1,0,0,1,1,2,2
Arbeitnow,senior-fullstack-engineer-dusseldorf-6008,https://www.arbeitnow.com/jobs/companies/towa-the-digital-growth-company/senior-fullstack-engineer-dusseldorf-6008,2026-07-13,TOWA - the digital growth company,"Senior Fullstack Engineer (m/w/d), Düsseldorf",Senior,Düsseldorf,e8eb92843b851af3e230e1fe52212fe3fa7e24b46a4aae3da6ad84c409da0276,0,1,0,0,0,0,1,0,0,1,1,2,2
Remotive,2091062,https://remotive.com/remote-jobs/software-development/senior-product-engineer-fullstack-2091062,2026-07-13,Clipster,Senior Product Engineer (Fullstack),Senior,"Europe, UK, Germany, France, European timezones",75bb2cce31d1e454a2cab35836f503a8b37c326a2020ec2ea78f0f74dd0f8ce6,0,0,0,0,0,0,0,0,0,0,0,0,0
